Visit_Date~Visitor_ID~DataSource_ID~Funnel_NR~Contnt_group_tx~CONTNT_SUBGRP_TX~Funnel_Step_CD~Funnel_Step_NR								
2017-06-20 10:47:52~999b1f3c-56fe-4012-9dd8-0e487b706667~dcstd5kayuz5bdovxamzuuhkl_4d9w~NULL~News Release~TSB launches Britain's best personal loan~NULL~NULL								
2017-07-17 22:17:25~972ce82d-cb19-4287-9ddd-a3fdcf33e48d~dcstd5kayuz5bdovxamzuuhkl_4d9w~NULL~straightforward money~The do's and don'ts of applying for a Loan~NULL~NULL								
2017-07-06 16:16:10~42bd0eff-f511-45a8-98a5-42664637c716~dcshmmrvguz5bdobq3ovhnlkl_5q1z~NULL~SALES~Personal Loans	 Credit Cards	 Overdraft	 Mortgages~NULL~NULL					
2017-06-23 12:31:12~69e34110-3a77-4240-b8a0-ba21ae892dc4~dcshmmrvguz5bdobq3ovhnlkl_5q1z~NULL~SALES~Personal Loans	 Credit Cards	 Overdraft	 Mortgages~NULL~NULL					
2017-06-26 16:14:43~7220ebd3-17a1-4ec5-808a-050fe7dd9534~dcshmmrvguz5bdobq3ovhnlkl_5q1z~NULL~SALES~Personal Loans	 Credit Cards	 Overdraft	 Mortgages~NULL~NULL					
2017-07-18 10:03:27~5762a629-c033-462d-893c-93cd4198df9b~dcshmmrvguz5bdobq3ovhnlkl_5q1z~NULL~SALES~Personal Loans	 Credit Cards	 Overdraft	 Mortgages~NULL~NULL					
2017-06-16 13:49:55~1f588faf-0ce0-4fae-962f-80d44d7ec0fe~dcshmmrvguz5bdobq3ovhnlkl_5q1z~NULL~SALES~Personal Loans	 Credit Cards	 Overdraft	 Mortgages~NULL~NULL					
2017-06-13 10:50:57~389cab9c-4b62-4323-bdb0-bd730f8f3495~dcshmmrvguz5bdobq3ovhnlkl_5q1z~NULL~SALES~Personal Loans	 Credit Cards	 Overdraft	 Mortgages~NULL~NULL					
2017-06-26 19:21:53~d9bd2f90-51fb-495a-a750-3b7fd8b58421~dcshmmrvguz5bdobq3ovhnlkl_5q1z~NULL~SALES~Personal Loans	 Credit Cards	 Overdraft	 Mortgages~NULL~NULL					
2017-06-26 22:38:01~89cb22d9-944e-4598-9df2-957d96182c5b~dcshmmrvguz5bdobq3ovhnlkl_5q1z~NULL~SALES~Personal Loans	 Credit Cards	 Overdraft	 Mortgages~NULL~NULL					
2017-08-09 13:33:10~7d99d950-f032-43bf-ad38-5505a863d205~dcshmmrvguz5bdobq3ovhnlkl_5q1z~NULL~SALES~Personal Loans	 Credit Cards	 Overdraft	 Mortgages~NULL~NULL					
2017-06-20 19:07:33~17730728-56f5-44f8-92b3-8128893ffc72~dcshmmrvguz5bdobq3ovhnlkl_5q1z~NULL~SALES~Personal Loans	 Credit Cards	 Overdraft	 Mortgages~NULL~NULL					
